Season,Team,Player,Avg Points,GP,G,A,Blk
2023-2024,Cantuar Slough Sharks,Brock Boeser,4.5,80,40,33,27
2023-2024,Maplewood HC,Steven Stamkos,4.5,36,15,17,16
2023-2024,Les Rois de Lyon,Mark Scheifele,4.49,70,25,43,39
2023-2024,Woodland Whistle Pigs,Tomas Hertl,4.49,37,16,12,38
2019-2020,Taku River Glaciers,Patrik Laine,4.48,64,27,33,34
2022-2023,Cantuar Slough Sharks,Jesper Bratt,4.48,48,19,29,17
2022-2023,Slick City Jackals,Carter Verhaeghe,4.48,21,11,9,5
2025-2026,Pennant Pumpjacks,Leo Carlsson,4.48,60,25,33,23
2021-2022,Alberta Cobra Chickens,Bryan Rust,4.47,53,21,30,22
2019-2020,Scotty,Anze Kopitar,4.47,32,11,17,26
2020-2021,Slick City Jackals,Gabriel Landeskog,4.47,51,19,30,28
2021-2022,Mt Pearl Vikings,William Nylander,4.47,76,31,43,28
2021-2022,Alberta Cobra Chickens,Kevin Fiala,4.47,75,30,50,17
2021-2022,Maplewood HC,Josh Norris,4.47,15,8,4,9
2025-2026,Bowness Ice Beavers,Filip Forsberg,4.47,78,37,35,31
2020-2021,Les Rois de Lyon,Ryan Strome,4.46,28,9,19,10
2021-2022,Synth City,Elias Pettersson,4.44,75,32,34,41
2022-2023,Minnesota Frozen Pines,J.T. Miller,4.44,50,18,27,29
2023-2024,Cantuar Slough Sharks,Nico Hischier,4.44,63,23,37,36
2023-2024,Rockaway Brattwursts,Kyle Connor,4.44,61,30,27,18
2024-2025,Woodland Whistle Pigs,Pierre-Luc Dubois,4.44,25,10,13,18
2025-2026,Bowness Ice Beavers,Nick Schmaltz,4.44,79,31,40,49
2020-2021,Rotterdam Red Foxes,Anze Kopitar,4.43,53,13,37,36
2022-2023,Bowness Ice Beavers,Brock Nelson,4.43,74,32,37,40
2022-2023,Cachco Eagles,Pierre-Luc Dubois,4.43,67,27,32,45
2023-2024,Alberta Cobra Chckens,Joel Eriksson Ek,4.43,72,29,33,49
2019-2020,Rotterdam Red Foxes,Blake Wheeler,4.42,69,21,41,51
2019-2020,Scotty,Brayden Point,4.42,59,23,36,25
2019-2020,Steel Valley Fishers,Ryan Nugent-Hopkins,4.42,59,18,36,43
2021-2022,Alberta Cobra Chickens,Brock Nelson,4.42,69,36,22,40
2023-2024,Woodland Whistle Pigs,Jason Robertson,4.42,26,11,14,8
2021-2022,Potomac Poutine,Evgeny Kuznetsov,4.41,49,14,35,19
2023-2024,Bowness Ice Beavers,Jason Robertson,4.41,51,17,34,21
2021-2022,Bowness Ice Beavers,Evander Kane,4.4,40,21,16,10
2023-2024,Scotty,Chris Kreider,4.4,72,33,33,19
2025-2026,Driftless Hockey Club,Ryan Hartman,4.4,35,13,13,48
2020-2021,Slick City Jackals,Nikolaj Ehlers,4.39,46,21,24,12
2022-2023,Bowness Ice Beavers,Joe Pavelski,4.39,56,14,36,49
2022-2023,Maplewood HC,Brady Tkachuk,4.39,46,19,28,4
2023-2024,Rockaway Brattwursts,Clayton Keller,4.39,75,31,40,28
2025-2026,Les  Rois de Lyon,Drake Batherson,4.39,74,32,38,22
2022-2023,Woodland Whistle Pigs,Mark Stone,4.38,42,17,21,23
2023-2024,Woodland Whistle Pigs,Travis Konecny,4.38,74,33,35,31
2024-2025,Woodland Whistle Pigs,Alex DeBrincat,4.38,24,12,9,11
2025-2026,Scotty,Tom Wilson,4.38,65,27,29,51
2024-2025,Steel Valley Fishers,Dylan Holloway,4.37,30,11,17,19
2024-2025,Pennant Pumpjacks,Roope Hintz,4.37,60,24,29,36
2025-2026,Rotterdam Red Foxes,Matt Duchene,4.37,19,6,12,9
2020-2021,Taku River Glaciers,Brendan Gallagher,4.36,14,8,5,4
2022-2023,Les Rois de Lyon,Mark Scheifele,4.36,80,41,26,38
2024-2025,Scotty,Matt Boldy,4.36,76,26,40,62
2022-2023,Pennant Pumpjacks,Kevin Fiala,4.35,55,18,37,16
2025-2026,Pennant Pumpjacks,Dylan Larkin,4.35,65,30,27,31
2025-2026,Rockaway Brattwursts,Cutter Gauthier,4.35,62,33,23,16
2023-2024,Rotterdam Red Foxes,William Karlsson,4.34,61,28,23,39
2019-2020,Potomac Poutine,John Tavares,4.33,61,24,32,30
2021-2022,Rotterdam Red Foxes,Clayton Keller,4.33,66,27,35,31
2022-2023,Cantuar Slough Sharks,Claude Giroux,4.33,45,16,26,18
2025-2026,Cantuar Slough Sharks,Brady Tkachuk,4.33,55,19,35,18
2025-2026,Les  Rois de Lyon,Mats Zuccarello,4.33,21,6,15,8
2025-2026,Pennant Pumpjacks,Mikael Granlund,4.33,12,7,1,6
2025-2026,Scotty,Viktor Arvidsson,4.33,27,10,15,15
2022-2023,Les Rois de Lyon,Logan Couture,4.32,79,27,39,67
2020-2021,Bowness Ice Beavers,David Perron,4.32,53,16,35,25
2022-2023,Cachco Eagles,Patrik Laine,4.32,34,13,19,16
2022-2023,Mt Pearl Vikings,Brady Tkachuk,4.32,31,15,16,2
2024-2025,Bowness Ice Beavers,Tim Stutzle,4.32,79,23,51,44
2024-2025,Maplewood HC,Tom Wilson,4.32,41,16,16,36
2024-2025,Woodland Whistle Pigs,Brayden Point,4.32,25,10,11,17
2025-2026,Steel Valley Fishercats,Bo Horvat,4.32,65,30,25,35
2024-2025,Driftless Hockey Club,Kirill Marchenko,4.31,71,28,36,37
2019-2020,Scotty,Josh Bailey,4.3,10,3,6,10
2023-2024,Woodland Whistle Pigs,Alex Tuch,4.3,30,8,17,33
2024-2025,Maplewood HC,Tage Thompson,4.3,40,19,17,16
2024-2025,Rockaway Brattwursts,J.T. Miller,4.3,61,18,35,46
2025-2026,Steel Valley Fishercats,Joel Eriksson Ek,4.3,20,9,9,8
2025-2026,Synth City Sphynx,Elias Pettersson,4.3,69,14,33,104
2024-2025,Slick City Jackals,Matt Duchene,4.29,79,28,51,20
2019-2020,Potomac Poutine,Matthew Tkachuk,4.29,21,10,10,5
2020-2021,Taku River Glaciers,John Tavares,4.29,24,9,14,13
2023-2024,Rockaway Brattwursts,Owen Tippett,4.29,35,15,15,25
2023-2024,Mt Pearl Vikings,Patrick Kane,4.29,42,19,21,11
2024-2025,Pennant Pumpjacks,Dylan Larkin,4.29,14,5,7,7
2025-2026,Southside Hellbats,Jesper Bratt,4.29,34,12,23,8
2024-2025,Bowness Ice Beavers,Jason Robertson,4.28,54,20,29,31
2025-2026,Cantuar Slough Sharks,Kirill Marchenko,4.28,68,22,39,38
2019-2020,Steel Valley Fishers,Bo Horvat,4.27,11,4,3,14
2023-2024,Synth City Sphynx,Joe Pavelski,4.27,81,27,40,70
2024-2025,Alberta Cobra Chickens,Sebastian Aho,4.27,22,9,10,7
2023-2024,Bowness Ice Beavers,Mats Zuccarello,4.26,62,10,47,42
2025-2026,Southside Hellbats,Nico Hischier,4.26,80,28,38,62
2020-2021,Slick City Jackals,Tomas Hertl,4.25,48,17,24,36
2021-2022,Cachco Eagles,Adrian Kempe,4.25,12,7,3,3
2023-2024,Potomac Poutine,Carter Verhaeghe,4.25,57,25,29,13
2024-2025,Woodland Whistle Pigs,Bo Horvat,4.25,20,11,5,12
2020-2021,Bowness Ice Beavers,Evander Kane,4.24,21,8,11,9
2020-2021,Maplewood HC,Pavel Zacha,4.24,17,8,7,4
2022-2023,Slick City Jackals,Dylan Cozens,4.24,63,27,29,22
2023-2024,Steel Valley Fishers,Blake Coleman,4.24,37,17,11,31
2024-2025,Potomac Poutine,Alex DeBrincat,4.24,54,24,22,22
2019-2020,Steel Valley Fishers,Johnny Gaudreau,4.23,13,4,9,5
2022-2023,Maplewood HC,Claude Giroux,4.23,30,13,16,9
2021-2022,Taku River Glaciers,Patrice Bergeron,4.22,18,6,10,11
2024-2025,Maplewood HC,Tyler Seguin,4.22,18,7,11,5
2019-2020,Pennant Pumpjacks,Dominik Kubalik,4.21,14,7,5,3
2020-2021,Seminole Road Snakeheads,Pavel Buchnevich,4.21,52,19,26,28
2020-2021,Bowness Ice Beavers,Jason Robertson,4.21,24,11,12,6
2021-2022,Potomac Poutine,Troy Terry,4.21,53,28,17,23
2023-2024,Bowness Ice Beavers,Tim Stutzle,4.21,71,18,50,40
2023-2024,Rockaway Brattwursts,Seth Jarvis,4.21,78,31,32,52
2023-2024,Scotty,Matt Boldy,4.21,72,27,38,31
2025-2026,Southside Hellbats,Logan Cooley,4.21,29,14,9,13
2019-2020,Potomac Poutine,Anthony Mantha,4.2,40,16,18,23
2019-2020,Taku River Glaciers,Tom Wilson,4.2,20,7,8,21
2022-2023,Pennant Pumpjacks,Jeff Skinner,4.2,71,33,34,13
2024-2025,Woodland Whistle Pigs,Travis Konecny,4.2,76,23,48,38
2025-2026,Alberta Cobra Chickens,Tyson Foerster,4.2,15,9,0,17
2024-2025,Potomac Poutine,Marco Rossi,4.19,43,16,21,26
2020-2021,Rotterdam Red Foxes,Elias Lindholm,4.18,51,17,26,32
2023-2024,Scotty,Ryan Nugent-Hopkins,4.18,45,12,30,17
2025-2026,Southside Hellbats,Trevor Zegras,4.18,22,8,13,5
2025-2026,Steel Valley Fishercats,Morgan Geekie,4.18,60,25,27,24
2021-2022,Bowness Ice Beavers,Patrice Bergeron,4.17,52,16,26,33
2022-2023,Slick City Jackals,Andrei Kuzmenko,4.17,30,16,11,6
2024-2025,Steel Valley Fishers,Valeri Nichushkin,4.17,35,18,9,19
2019-2020,Scotty,David Perron,4.16,63,24,32,18
2021-2022,Les Rois de Lyon,Anze Kopitar,4.16,80,19,47,70
2021-2022,Taku River Glaciers,Nikolaj Ehlers,4.16,58,27,24,27
2021-2022,Steel Valley Fishers,Josh Norris,4.16,31,16,6,25
2024-2025,Mt Pearl Vikings,Shane Wright,4.16,19,8,7,16
2024-2025,Rotterdam Red Foxes,Anze Kopitar,4.16,79,21,44,66
2025-2026,Synth City Sphynx,Rickard Rakell,4.15,59,23,23,42
2019-2020,Seminole Road Snakeheads,Travis Konecny,4.15,55,19,30,26
2022-2023,Woodland Whistle Pigs,Tomas Hertl,4.15,54,15,31,42
2023-2024,Pennant Pumpjacks,Brad Marchand,4.15,78,29,36,35
2023-2024,Les Rois de Lyon,Brock Nelson,4.15,73,29,31,45
2024-2025,Les Rois de Lyon,Dylan Larkin,4.15,52,20,27,17
2025-2026,Woodland Whistle Pigs,Travis Konecny,4.15,33,12,16,15
2019-2020,Slick City Jackals,Zach Parise,4.14,14,6,5,10
2025-2026,Mt Pearl Vikings,Chandler Stephenson,4.14,14,6,5,9
2020-2021,Minnesota Frozen Pines,Kevin Fiala,4.13,46,20,20,13
2021-2022,Rotterdam Red Foxes,Jordan Kyrou,4.13,70,26,40,21
2021-2022,Mt Pearl Vikings,Valeri Nichushkin,4.13,23,11,8,11
2022-2023,Minnesota Frozen Pines,Tommy Novak,4.13,15,4,10,8
2024-2025,Potomac Poutine,Patrik Laine,4.13,31,12,10,22
2022-2023,Cantuar Slough Sharks,Martin Necas,4.12,48,19,25,12
2023-2024,Cantuar Slough Sharks,Frank Vatrano,4.12,73,29,21,66
2023-2024,Steel Valley Fishers,Bo Horvat,4.12,78,32,34,39
2024-2025,Cantuar Slough Sharks,Jonathan Huberdeau,4.12,51,18,19,43
2019-2020,Pennant Pumpjacks,Bo Horvat,4.11,57,17,28,51
2022-2023,Mt Pearl Vikings,Tyler Toffoli,4.11,47,19,25,8
2023-2024,Driftless Hockey Club,Connor Bedard,4.11,66,22,38,26
2025-2026,Bowness Ice Beavers,Gabriel Vilardi,4.11,72,28,35,29
2025-2026,Mt Pearl Vikings,Pavel Dorofeyev,4.11,74,35,25,24
2020-2021,Taku River Glaciers,Filip Forsberg,4.1,30,10,17,12
2021-2022,Scotty,Brayden Point,4.1,58,25,25,20
2021-2022,Rotterdam Red Foxes,Alex Tuch,4.1,48,12,26,49
2021-2022,Minnesota Frozen Pines,Jakub Vrana,4.1,21,12,5,6
2024-2025,Synth City Sphynx,Elias Pettersson,4.1,63,15,30,77
2025-2026,Southside Hellbats,Travis Konecny,4.1,42,14,24,23
2019-2020,Les Rois De Lyon,Mike Hoffman,4.09,67,28,30,21
2019-2020,Mt Pearl Vikings,Brayden Schenn,4.09,33,10,20,15
2020-2021,Synth City,Blake Wheeler,4.09,46,13,27,27
2020-2021,Slick City Jackals,Evander Kane,4.09,34,14,16,13
2025-2026,Alberta Cobra Chickens,Sebastian Aho,4.09,56,18,34,16
2020-2021,Pennant Pumpjacks,Sean Couturier,4.08,37,13,19,21
2020-2021,Cachco Eagles,Steven Stamkos,4.08,36,16,14,10
2023-2024,Woodland Whistle Pigs,Matt Duchene,4.08,62,20,34,37
2024-2025,Rotterdam Red Foxes,Jonathan Huberdeau,4.08,25,7,13,18
2025-2026,Pennant Pumpjacks,Anthony Mantha,4.08,49,21,21,23
2022-2023,Woodland Whistle Pigs,David Krejci,4.07,44,10,30,30
2019-2020,Les Rois De Lyon,Nicklas Backstrom,4.07,59,12,40,43
2021-2022,Cachco Eagles,Jack Eichel,4.07,30,12,8,32
2019-2020,Mt Pearl Vikings,Patric Hornqvist,4.06,16,6,6,13
2023-2024,Alberta Cobra Chckens,Roope Hintz,4.06,79,30,35,36
2023-2024,Mt Pearl Vikings,Alex Ovechkin,4.06,72,28,33,26
2024-2025,Driftless Hockey Club,Cole Caufield,4.06,80,37,31,31
2024-2025,Scotty,Vincent Trocheck,4.06,77,24,33,72
2025-2026,Alberta Cobra Chickens,Ryan Nugent-Hopkins,4.06,48,12,31,18
2025-2026,Rockaway Brattwursts,Jared McCann,4.06,32,12,14,18
2020-2021,Scotty,Brayden Point,4.05,55,23,25,18
2022-2023,Alberta Cobra Chickens,Boone Jenner,4.05,39,14,12,45
2022-2023,Minnesota Frozen Pines,Rickard Rakell,4.05,37,12,19,23
2022-2023,Slick City Jackals,Mathew Barzal,4.05,57,14,36,34
2025-2026,Alberta Cobra Chickens,Logan Cooley,4.05,22,9,8,13
2025-2026,Woodland Whistle Pigs,Andrei Svechnikov,4.05,79,31,39,16
2023-2024,Rotterdam Red Foxes,Brandon Hagel,4.04,79,25,46,45
2019-2020,Slick City Jackals,Logan Couture,4.04,51,16,23,44
2021-2022,Alberta Cobra Chickens,Brady Tkachuk,4.04,23,10,11,3
2022-2023,Cachco Eagles,Alex DeBrincat,4.04,78,27,38,36
2022-2023,Pennant Pumpjacks,Phillip Danault,4.04,57,13,31,51
2024-2025,Rotterdam Red Foxes,Jordan Kyrou,4.04,81,34,34,36
2025-2026,Rockaway Brattwursts,Adrian Kempe,4.04,74,29,34,36
2019-2020,Slick City Jackals,Mathew Barzal,4.03,67,19,40,43
2021-2022,Scotty,David Perron,4.03,63,26,28,10
2023-2024,Cantuar Slough Sharks,Elias Pettersson,4.03,29,7,16,27
2023-2024,Potomac Poutine,Adam Henrique,4.03,30,10,12,31
2024-2025,Driftless Hockey Club,Aliaksei Protas,4.03,61,24,28,30
2021-2022,Seminole Road Snakeheads,Andrew Mangiapane,4.02,45,25,8,20
2021-2022,Minnesota Frozen Pines,Adrian Kempe,4.02,41,20,11,16
2023-2024,Alberta Cobra Chckens,Boone Jenner,4.02,56,21,12,73
2019-2020,Minnesota Frozen Pines,Teuvo Teravainen,4.01,67,15,46,30
2025-2026,Maplewood HC,Mathew Barzal,4.01,80,19,52,50
2022-2023,Alberta Cobra Chickens,Andrei Svechnikov,4,56,21,28,15
2019-2020,Synth City ,Elias Lindholm,4,70,29,25,41
2019-2020,Cachco Eagles,T.J. Oshie,4,55,23,18,40
2020-2021,Potomac Poutine,John Tavares,4,30,9,17,15
2021-2022,Alberta Cobra Chickens,Andrei Svechnikov,4,76,30,39,15
2021-2022,Seminole Road Snakeheads,Brayden Schenn,4,56,20,31,16
2022-2023,Les Rois de Lyon,Brandon Hagel,4,64,23,26,44
2022-2023,Rotterdam Red Foxes,Filip Forsberg,4,50,19,23,20
2023-2024,Driftless Hockey Club,Anthony Duclair,4,14,6,6,6
2023-2024,Slick City Jackals,Andrei Svechnikov,4,49,17,26,19
2024-2025,Rotterdam Red Foxes,Quinton Byfield,4,17,8,6,7
2024-2025,Steel Valley Fishers,Roope Hintz,4,10,3,6,4
2025-2026,Alberta Cobra Chickens,Alexander Wennberg,4,65,15,31,78
2021-2022,Potomac Poutine,Bo Horvat,3.99,67,29,21,39
2022-2023,Steel Valley Fishers,Brad Marchand,3.99,70,20,43,21
2023-2024,Synth City Sphynx,Ryan O'Reilly,3.99,69,19,37,46
2024-2025,Driftless Hockey Club,Adrian Kempe,3.99,76,33,31,31
2019-2020,Seminole Road Snakeheads,Gabriel Landeskog,3.98,48,19,18,30
2023-2024,Maplewood HC,Troy Terry,3.98,40,14,21,13
2023-2024,Rotterdam Red Foxes,Jordan Kyrou,3.98,81,31,36,32
2025-2026,Alberta Cobra Chickens,Vincent Trocheck,3.97,65,16,37,47
2019-2020,Taku River Glaciers,Zach Parise,3.97,30,11,13,13
2019-2020,Last Mountain Walleye,Ondrej Palat,3.97,38,13,13,39
2023-2024,Driftless Hockey Club,Alex Tuch,3.97,39,11,17,43
2020-2021,Cachco Eagles,Kyle Connor,3.96,51,21,22,18
2022-2023,Potomac Poutine,Cole Caufield,3.96,46,26,10,12
2024-2025,Scotty,Mika Zibanejad,3.96,23,6,14,8
2025-2026,Scotty,Pavel Zacha,3.96,71,29,29,24
2022-2023,Alberta Cobra Chickens,John Tavares,3.95,19,8,6,9
2022-2023,Pennant Pumpjacks,Nick Paul,3.95,21,10,4,16
2023-2024,Slick City Jackals,Kevin Fiala,3.95,76,27,38,24
2024-2025,Maplewood HC,Filip Forsberg,3.95,40,10,23,26
2019-2020,Potomac Poutine,William Nylander,3.94,67,30,28,14
2023-2024,Driftless Hockey Club,Sean Monahan,3.94,32,13,11,20
2020-2021,Rotterdam Red Foxes,Martin Necas,3.93,41,13,20,20
2021-2022,Slick City Jackals,Teuvo Teravainen,3.93,74,20,42,29
2021-2022,Taku River Glaciers,Pierre-Luc Dubois,3.93,55,22,22,27
2022-2023,Steel Valley Fishers,Chandler Stephenson,3.93,56,11,36,39
2022-2023,Woodland Whistle Pigs,Patrice Bergeron,3.93,76,27,30,52
2023-2024,Mt Pearl Vikings,Evgeni Malkin,3.93,73,26,35,36
2024-2025,Bowness Ice Beavers,Brady Tkachuk,3.93,55,20,23,30
2023-2024,Pennant Pumpjacks,Jeff Skinner,3.92,24,10,11,4
2024-2025,Mt Pearl Vikings,Ross Colton,3.92,12,7,0,9
2025-2026,Rotterdam Red Foxes,Anthony Cirelli,3.92,64,23,27,40
2019-2020,Potomac Poutine,Andre Burakovsky,3.91,32,11,15,20
2022-2023,Cantuar Slough Sharks,Jonathan Marchessault,3.91,22,10,9,7
2022-2023,Pennant Pumpjacks,Robert Thomas,3.91,69,16,46,29
2022-2023,Rotterdam Red Foxes,Nick Suzuki,3.91,80,24,40,52
2024-2025,Mt Pearl Vikings,Conor Garland,3.91,11,4,3,12
2020-2021,Cachco Eagles,Brock Boeser,3.9,48,19,21,16
2020-2021,Maplewood HC,Jack Eichel,3.9,21,2,16,15
2021-2022,Potomac Poutine,Jonathan Marchessault,3.9,10,3,7,0
2022-2023,Potomac Poutine,Elias Lindholm,3.9,73,20,38,45
2024-2025,Mt Pearl Vikings,Josh Norris,3.9,49,19,12,41
2024-2025,Mt Pearl Vikings,Patrick Kane,3.9,10,3,5,6
2025-2026,Woodland Whistle Pigs,Mats Zuccarello,3.9,31,7,20,16
2023-2024,Rotterdam Red Foxes,Jared McCann,3.88,75,29,31,27
2019-2020,Slick City Jackals,Anze Kopitar,3.88,25,6,14,17
2021-2022,Potomac Poutine,Ryan Nugent-Hopkins,3.88,57,11,35,29
2023-2024,Maplewood HC,Alexis Lafreniere,3.88,32,15,12,8
2024-2025,Les Rois de Lyon,Mikael Granlund,3.88,77,20,42,53
2020-2021,Scotty,Bryan Rust,3.87,55,22,20,29
2021-2022,Taku River Glaciers,Anders Lee,3.87,15,4,9,6
2022-2023,Alberta Cobra Chickens,Gabriel Vilardi,3.87,15,6,6,9
2024-2025,Potomac Poutine,Matthew Knies,3.87,62,23,23,35
2019-2020,Taku River Glaciers,Victor Olofsson,3.86,28,9,15,12
2021-2022,Steel Valley Fishers,Logan Couture,3.86,69,21,29,53
2024-2025,Slick City Jackals,Jake Neighbours,3.86,14,5,6,9
2024-2025,Woodland Whistle Pigs,Connor McMichael,3.86,35,16,10,17
2025-2026,Alberta Cobra Chickens,Jordan Eberle,3.86,42,15,18,26
2024-2025,Scotty,Anders Lee,3.85,26,12,7,16
2025-2026,Southside Hellbats,Sam Reinhart,3.85,26,8,11,15
2024-2025,Bowness Ice Beavers,Pierre-Luc Dubois,3.84,25,7,13,18
2019-2020,Synth City ,Kyle Palmieri,3.84,55,21,18,33
2021-2022,Mt Pearl Vikings,Jonathan Marchessault,3.84,38,17,14,8
2021-2022,Rotterdam Red Foxes,Nick Suzuki,3.84,80,21,38,62
2021-2022,Taku River Glaciers,Anthony Duclair,3.84,45,17,21,8
2023-2024,Cantuar Slough Sharks,Gabriel Vilardi,3.84,32,12,12,18
2024-2025,Woodland Whistle Pigs,Anton Lundell,3.84,19,6,8,15
2020-2021,Taku River Glaciers,Anders Lee,3.83,18,9,5,7
2021-2022,Slick City Jackals,Mason Marchment,3.83,29,11,15,6
2022-2023,Scotty,Vincent Trocheck,3.83,59,15,35,36
2023-2024,Potomac Poutine,Yegor Sharangovich,3.83,24,9,8,9
2023-2024,Rockaway Brattwursts,Jonathan Drouin,3.83,18,6,8,10
2025-2026,Driftless Hockey Club,Troy Terry,3.83,52,15,31,15
2019-2020,Seminole Road Snakeheads,Tomas Tatar,3.82,66,21,37,22
2023-2024,Alberta Cobra Chckens,Nick Schmaltz,3.82,56,17,27,32
2023-2024,Mt Pearl Vikings,Dylan Guenther,3.82,11,6,1,5
2024-2025,Driftless Hockey Club,Mats Zuccarello,3.82,66,19,32,45
2020-2021,Synth City,Elias Pettersson,3.81,26,10,11,9
2022-2023,Cantuar Slough Sharks,Boone Jenner,3.81,26,11,6,22
2022-2023,Pennant Pumpjacks,Artturi Lehkonen,3.81,43,13,18,28
2024-2025,Scotty,Anthony Cirelli,3.81,63,23,18,58
2024-2025,Mt Pearl Vikings,Teuvo Teravainen,3.81,16,3,12,4
2019-2020,Alberta Cobra Chickens,Anthony Cirelli,3.8,10,3,4,7
2019-2020,Cachco Eagles,Evander Kane,3.8,51,20,16,22
2022-2023,Cachco Eagles,Dylan Strome,3.8,65,19,34,33
2023-2024,Driftless Hockey Club,Alex DeBrincat,3.8,79,26,38,34
2023-2024,Maplewood HC,Tage Thompson,3.8,64,25,25,23
2023-2024,Rockaway Brattwursts,Artturi Lehkonen,3.8,10,4,4,4
2020-2021,Bowness Ice Beavers,Tyler Toffoli,3.79,34,17,10,6
2020-2021,Taku River Glaciers,Kailer Yamamoto,3.79,14,4,4,19
2021-2022,Bowness Ice Beavers,Tim Stutzle,3.79,57,17,25,39
2022-2023,Synth City,Johnny Gaudreau,3.79,73,18,49,18
2020-2021,Potomac Poutine,William Nylander,3.78,45,17,20,15
2022-2023,Minnesota Frozen Pines,J.T. Compher,3.78,41,10,18,45
2023-2024,Rockaway Brattwursts,Lucas Raymond,3.78,64,23,31,19
2019-2020,Alberta Cobra Chickens,Andrei Svechnikov,3.77,62,21,30,24
2021-2022,Seminole Road Snakeheads,Tomas Hertl,3.77,44,16,16,26
2021-2022,Bowness Ice Beavers,Viktor Arvidsson,3.77,39,12,18,27
2021-2022,Bowness Ice Beavers,Valeri Nichushkin,3.77,30,10,14,14
2022-2023,Potomac Poutine,Joel Eriksson Ek,3.77,64,18,27,47
2023-2024,Bowness Ice Beavers,Charlie Coyle,3.77,62,19,26,43
2022-2023,Rotterdam Red Foxes,Troy Terry,3.76,66,22,35,21
2019-2020,Rotterdam Red Foxes,Ryan O'Reilly,3.75,69,12,47,39
2019-2020,Mt Pearl Vikings,William Karlsson,3.75,60,15,31,36
2019-2020,Taku River Glaciers,Matthew Tkachuk,3.75,48,13,28,17
2020-2021,Minnesota Frozen Pines,Jared McCann,3.75,20,6,10,9
2025-2026,Southside Hellbats,Alexis Lafreniere,3.75,16,6,7,3
2025-2026,Synth City Sphynx,Elias Lindholm,3.75,63,15,29,55
2020-2021,Rotterdam Red Foxes,Patric Hornqvist,3.74,34,12,13,18
2021-2022,Maplewood HC,Nico Hischier,3.74,57,16,27,39
2021-2022,Minnesota Frozen Pines,Ryan Johansen,3.74,54,17,25,22
2021-2022,Steel Valley Fishers,Chandler Stephenson,3.74,47,12,26,29
2023-2024,Bowness Ice Beavers,Nikolaj Ehlers,3.74,27,8,14,17
2024-2025,Slick City Jackals,Drake Batherson,3.74,80,23,41,30
2025-2026,Mt Pearl Vikings,Roope Hintz,3.74,50,13,29,17
2025-2026,Potomac Poutine,Robert Thomas,3.74,42,11,22,23
2024-2025,Bowness Ice Beavers,Kent Johnson,3.73,60,19,30,26
2019-2020,Minnesota Frozen Pines,Tanner Pearson,3.73,26,11,8,15
2019-2020,Les Rois De Lyon,Sean Couturier,3.73,59,17,34,23
2020-2021,Minnesota Frozen Pines,Johnny Gaudreau,3.73,15,5,8,3
2025-2026,Maplewood HC,Alex Ovechkin,3.73,75,31,29,16
2019-2020,Potomac Poutine,Jaden Schwartz,3.72,60,18,32,19
2021-2022,Pennant Pumpjacks,Ryan Hartman,3.72,64,24,25,37
2021-2022,Synth City,Ryan Getzlaf,3.72,18,2,13,13
2019-2020,Bowness Ice Beavers,Reilly Smith,3.71,69,27,26,30
2023-2024,Driftless Hockey Club,Mikael Granlund,3.71,17,2,10,17
2024-2025,Slick City Jackals,Logan Cooley,3.71,65,22,28,29
2025-2026,Maplewood HC,Sam Bennett,3.71,69,25,30,27
2025-2026,Potomac Poutine,Matthew Knies,3.71,59,16,34,28
2025-2026,Southside Hellbats,Will Smith,3.71,31,12,14,6
2023-2024,Les Rois de Lyon,John Tavares,3.7,74,25,33,33
2019-2020,Scotty,Chris Kreider,3.7,54,19,20,36
2019-2020,Minnesota Frozen Pines,Jean-Gabriel Pageau,3.7,47,18,11,31
2020-2021,Scotty,Chris Kreider,3.7,50,20,10,35
2020-2021,Les Rois de Lyon,David Krejci,3.7,46,8,31,23
2021-2022,Maplewood HC,Jeff Skinner,3.7,56,24,22,11
2022-2023,Mt Pearl Vikings,Adrian Kempe,3.7,76,31,25,31
2022-2023,Rotterdam Red Foxes,Lawson Crouse,3.7,10,3,4,7
2023-2024,Woodland Whistle Pigs,Jesper Bratt,3.7,27,7,17,8
2021-2022,Les Rois de Lyon,Boone Jenner,3.69,35,10,14,32
2021-2022,Taku River Glaciers,Mark Stone,3.69,32,7,19,20
2022-2023,Slick City Jackals,Anders Lee,3.69,13,7,3,2
2022-2023,Woodland Whistle Pigs,Jake DeBrusk,3.69,59,23,22,21
2024-2025,Driftless Hockey Club,Connor Bedard,3.69,80,21,42,37
2024-2025,Steel Valley Fishers,Brady Tkachuk,3.69,13,7,2,3
2025-2026,Potomac Poutine,Dylan Strome,3.69,58,13,31,39
2025-2026,Rotterdam Red Foxes,Dylan Holloway,3.69,54,17,24,36
2022-2023,Pennant Pumpjacks,Drake Batherson,3.68,69,20,33,31
2024-2025,Alberta Cobra Chickens,Dylan Guenther,3.68,22,6,9,15
2024-2025,Rotterdam Red Foxes,Adam Fantilli,3.68,56,22,17,33
2025-2026,Mt Pearl Vikings,John Tavares,3.68,72,26,33,22
2023-2024,Driftless Hockey Club,Nick Schmaltz,3.67,18,4,10,9
2019-2020,Les Rois De Lyon,Tomas Hertl,3.67,48,16,20,25
2020-2021,Bowness Ice Beavers,J.T. Miller,3.67,33,7,19,16
2021-2022,Maplewood HC,Travis Konecny,3.67,15,4,8,9
2022-2023,Potomac Poutine,Matty Beniers,3.67,66,22,27,41
