Season,Team,Player,Avg Points,GP,G,A,Blk
2023-2024,Synth City Sphynx,Artemi Panarin,5.92,52,31,37,8
2022-2023,Bowness Ice Beavers,Jason Robertson,5.89,80,46,60,19
2021-2022,Mt Pearl Vikings,Sidney Crosby,5.88,65,31,53,35
2019-2020,Last Mountain Walleye,Mitch Marner,5.86,42,14,42,28
2022-2023,Alberta Cobra Chickens,Ryan Nugent-Hopkins,5.86,80,37,66,26
2023-2024,Alberta Cobra Chckens,Leon Draisaitl,5.86,79,41,63,26
2022-2023,Steel Valley Fishers,Nikita Kucherov,5.85,79,30,79,27
2021-2022,Steel Valley Fishers,Kirill Kaprizov,5.83,78,45,58,26
2021-2022,Steel Valley Fishers,Mikko Rantanen,5.82,73,36,55,42
2020-2021,Steel Valley Fishers,Brad Marchand,5.81,52,28,39,11
2021-2022,Pennant Pumpjacks,J.T. Miller,5.79,77,30,66,54
2020-2021,Steel Valley Fishers,Mikko Rantanen,5.78,49,30,31,17
2021-2022,Slick City Jackals,Filip Forsberg,5.78,63,36,38,45
2024-2025,Scotty,Brayden Point,5.78,50,31,27,27
2025-2026,Southside Hellbats,Nick Suzuki,5.78,81,29,72,62
2023-2024,Rotterdam Red Foxes,Mitch Marner,5.76,67,26,58,51
2025-2026,Woodland Whistle Pigs,Matt Boldy,5.76,76,42,43,58
2019-2020,Mt Pearl Vikings,Artemi Panarin,5.73,64,29,60,17
2024-2025,Rockaway Brattwursts,Jack Eichel,5.69,52,19,47,34
2024-2025,Woodland Whistle Pigs,Jason Robertson,5.68,25,15,14,13
2019-2020,Mt Pearl Vikings,Steven Stamkos,5.67,55,29,37,37
2020-2021,Mt Pearl Vikings,Artemi Panarin,5.67,40,17,39,7
2022-2023,Bowness Ice Beavers,Mitch Marner,5.67,79,30,69,45
2024-2025,Synth City Sphynx,Jack Eichel,5.67,21,8,16,17
2023-2024,Rockaway Brattwursts,Jack Eichel,5.66,59,30,34,57
2021-2022,Synth City,Johnny Gaudreau,5.66,79,39,72,8
2019-2020,Last Mountain Walleye,Jack Eichel,5.65,65,35,41,38
2022-2023,Mt Pearl Vikings,Sidney Crosby,5.65,48,24,36,26
2022-2023,Rotterdam Red Foxes,Joe Pavelski,5.65,23,13,13,13
2021-2022,Synth City,Alex Ovechkin,5.64,72,47,39,22
2025-2026,Alberta Cobra Chickens,Sam Reinhart,5.62,37,20,21,24
2019-2020,Mt Pearl Vikings,Evgeni Malkin,5.6,53,22,47,22
2025-2026,Driftless Hockey Club,Jason Robertson,5.6,80,44,50,34
2025-2026,Southside Hellbats,Mika Zibanejad,5.6,50,24,32,31
2023-2024,Woodland Whistle Pigs,Filip Forsberg,5.59,81,47,46,42
2022-2023,Cachco Eagles,Jack Eichel,5.58,53,25,35,47
2020-2021,Bowness Ice Beavers,Mitch Marner,5.56,54,20,47,41
2024-2025,Slick City Jackals,Tomas Hertl,5.56,16,10,7,7
2020-2021,Maplewood HC,Aleksander Barkov,5.55,31,13,24,21
2025-2026,Les  Rois de Lyon,Mark Scheifele,5.55,78,34,65,46
2023-2024,Alberta Cobra Chckens,William Nylander,5.54,80,40,57,29
2020-2021,Taku River Glaciers,Roope Hintz,5.53,17,6,17,5
2025-2026,Woodland Whistle Pigs,Wyatt Johnston,5.53,80,44,41,55
2022-2023,Bowness Ice Beavers,Tim Stutzle,5.52,75,38,47,49
2025-2026,Cantuar Slough Sharks,David Pastrnak,5.51,71,28,65,24
2021-2022,Taku River Glaciers,David Pastrnak,5.5,16,10,9,3
2021-2022,Taku River Glaciers,Matthew Tkachuk,5.49,79,40,61,19
2022-2023,Steel Valley Fishers,Kirill Kaprizov,5.48,66,39,35,28
2025-2026,Rockaway Brattwursts,Martin Necas,5.48,75,37,59,26
2024-2025,Potomac Poutine,Alex Ovechkin,5.45,62,43,28,12
2023-2024,Scotty,Brayden Point,5.44,73,42,37,40
2025-2026,Mt Pearl Vikings,William Nylander,5.44,59,28,45,25
2021-2022,Cachco Eagles,Kyle Connor,5.42,76,45,44,23
2021-2022,Maplewood HC,Dylan Larkin,5.42,45,26,28,16
2022-2023,Maplewood HC,Aleksander Barkov,5.42,65,22,53,47
2024-2025,Rotterdam Red Foxes,Mitch Marner,5.42,79,26,73,39
2023-2024,Rockaway Brattwursts,Zach Hyman,5.4,48,31,18,28
2025-2026,Steel Valley Fishercats,Mikko Rantanen,5.4,62,22,54,30
2023-2024,Les Rois de Lyon,Jack Hughes,5.39,62,27,47,24
2025-2026,Steel Valley Fishercats,Kirill Kaprizov,5.37,78,45,44,27
2019-2020,Taku River Glaciers,Nikita Kucherov,5.36,66,32,50,19
2021-2022,Slick City Jackals,Vladimir Tarasenko,5.33,72,34,48,43
2021-2022,Taku River Glaciers,Matt Duchene,5.33,67,39,37,24
2020-2021,Mt Pearl Vikings,Sidney Crosby,5.32,22,11,14,9
2021-2022,Steel Valley Fishers,Jake Guentzel,5.31,74,40,43,36
2022-2023,Potomac Poutine,Alex Tuch,5.31,64,33,37,38
2024-2025,Alberta Cobra Chickens,Sam Reinhart,5.31,78,37,42,62
2022-2023,Alberta Cobra Chickens,Roope Hintz,5.28,69,36,37,42
2020-2021,Synth City,Tyler Toffoli,5.27,11,7,5,3
2023-2024,Synth City Sphynx,Timo Meier,5.26,19,11,8,12
2024-2025,Bowness Ice Beavers,Mark Stone,5.26,42,14,35,23
2025-2026,Rockaway Brattwursts,Jack Eichel,5.26,70,26,57,38
2021-2022,Potomac Poutine,Elias Lindholm,5.24,68,35,38,43
2021-2022,Mt Pearl Vikings,Evgeny Kuznetsov,5.24,21,8,17,5
2024-2025,Les Rois de Lyon,Jack Hughes,5.23,62,27,43,29
2024-2025,Les Rois de Lyon,Mark Scheifele,5.22,81,38,48,58
2024-2025,Les Rois de Lyon,Jake Guentzel,5.21,76,40,37,51
2020-2021,Steel Valley Fishers,Jake Guentzel,5.2,25,10,18,14
2021-2022,Maplewood HC,Steven Stamkos,5.19,52,26,34,18
2020-2021,Taku River Glaciers,Mark Stone,5.19,52,21,38,32
