Season,Team,Player,AvgPoints,GP,W,GA,SHO
2023-2024,Maplewood HC,Jake Oettinger,6.33,51,32,134,3
2024-2025,Slick City Jackals,Pyotr Kochetkov,6.33,46,27,118,2
2021-2022,Pennant Pumpjacks,Andrei Vasilevskiy,6.32,59,36,146,2
2019-2020,Potomac Poutine,Carter Hart,6.31,32,18,73,1
2022-2023,Alberta Cobra Chickens,Frederik Andersen,6.3,33,20,78,1
2019-2020,Cachco Eagles,Connor Hellebuyck,6.3,56,29,136,6
2019-2020,Mt Pearl Vikings,Frederik Andersen,6.29,49,28,134,3
2019-2020,Bowness Ice Beavers,Marc-Andre Fleury,6.27,44,24,118,5
2019-2020,Rotterdam Red Foxes,Darcy Kuemper,6.27,22,12,53,1
2021-2022,Scotty,Mike Smith,6.24,25,15,65,2
2025-2026,Rockaway Brattwursts,Filip Gustavsson,6.24,46,27,117,3
2024-2025,Synth City Sphynx,Filip Gustavsson,6.23,57,31,144,5
2023-2024,Pennant Pumpjacks,Stuart Skinner,6.21,56,35,139,2
2021-2022,Taku River Glaciers,Ilya Sorokin,6.21,48,23,115,7
2019-2020,Alberta Cobra Chickens,Ben Bishop,6.2,25,13,58,1
2021-2022,Steel Valley Fishers,Jonathan Quick,6.18,22,11,53,2
2024-2025,Steel Valley Fishers,Joseph Woll,6.17,36,23,98,1
2022-2023,Woodland Whistle Pigs,Ilya Sorokin,6.14,58,29,133,6
2020-2021,Taku River Glaciers,Cam Talbot,6.13,30,17,75,2
2024-2025,Synth City Sphynx,Jacob Markstrom,6.13,47,25,115,4
2025-2026,Woodland Whistle Pigs,Linus Ullmark,6.13,46,26,122,3
2022-2023,Pennant Pumpjacks,Andrei Vasilevskiy,6.12,57,32,152,4
2023-2024,Pennant Pumpjacks,Juuse Saros,6.12,25,14,65,1
2022-2023,Potomac Poutine,Vitek Vanecek,6.11,46,28,107,2
2024-2025,Mt Pearl Vikings,Ilya Samsonov,6.11,27,15,74,2
2024-2025,Slick City Jackals,Kevin Lankinen,6.07,29,15,79,3
2024-2025,Woodland Whistle Pigs,Linus Ullmark,6.05,41,22,103,4
2025-2026,Mt Pearl Vikings,Karel Vejmelka,6.05,61,37,163,2
2023-2024,Cantuar Slough Sharks,Connor Ingram,6.04,24,11,62,5
2019-2020,Last Mountain Walleye,Petr Mrazek,6.03,30,16,78,3
2020-2021,Mt Pearl Vikings,Vitek Vanecek,6.03,29,17,79,2
2025-2026,Potomac Poutine,Logan Thompson,6.03,34,17,78,2
2022-2023,Minnesota Frozen Pines,Pheonix Copley,6,17,10,43,1
2021-2022,Bowness Ice Beavers,James Reimer,6,13,8,37,1
2022-2023,Scotty,Connor Hellebuyck,6,43,24,111,3
2024-2025,Scotty,Anthony Stolarz,6,13,6,26,1
2025-2026,Driftless Hockey Club,Mackenzie Blackwood,5.97,38,22,89,3
2021-2022,Steel Valley Fishers,Jake Oettinger,5.94,31,19,79,1
2023-2024,Cantuar Slough Sharks,Andrei Vasilevskiy,5.94,50,29,140,2
2025-2026,Woodland Whistle Pigs,Joey Daccord,5.9,30,15,82,2
2023-2024,Bowness Ice Beavers,Igor Shesterkin,5.9,29,18,79,0
2024-2025,Woodland Whistle Pigs,Spencer Knight,5.9,10,5,29,1
2021-2022,Synth City,Linus Ullmark,5.89,38,23,91,0
2023-2024,Woodland Whistle Pigs,Logan Thompson,5.86,14,8,35,1
2022-2023,Steel Valley Fishers,Logan Thompson,5.86,36,20,94,2
2023-2024,Bowness Ice Beavers,Charlie Lindgren,5.86,21,12,59,2
2023-2024,Scotty,Linus Ullmark,5.85,34,18,85,2
2025-2026,Driftless Hockey Club,Daniel Vladar,5.83,40,22,99,0
2019-2020,Steel Valley Fishers,Tristan Jarry,5.83,23,13,65,0
2024-2025,Maplewood HC,Dustin Wolf,5.83,18,9,47,1
2024-2025,Alberta Cobra Chickens,Jake Allen,5.82,11,5,25,2
2023-2024,Cantuar Slough Sharks,Alexandar Georgiev,5.81,63,38,183,2
2021-2022,Mt Pearl Vikings,Juuse Saros,5.8,20,12,59,1
2022-2023,Mt Pearl Vikings,Jack Campbell,5.78,23,15,73,0
2023-2024,Mt Pearl Vikings,Jacob Markstrom,5.78,45,22,122,2
2025-2026,Southside Hellbats,Jet Greaves,5.78,27,13,72,2
2021-2022,Rotterdam Red Foxes,Tristan Jarry,5.76,17,9,45,1
2020-2021,Steel Valley Fishers,Sergei Bobrovsky,5.75,28,18,79,0
2020-2021,Les Rois de Lyon,Carey Price,5.73,22,11,56,1
2023-2024,Les Rois de Lyon,Jordan Binnington,5.73,48,25,129,3
2019-2020,Alberta Cobra Chickens,David Rittich,5.72,29,15,80,1
2023-2024,Synth City Sphynx,Ukko-Pekka Luukkonen,5.71,48,24,123,3
2024-2025,Pennant Pumpjacks,Sam Montembeault,5.68,38,20,98,2
2019-2020,Seminole Road Snakeheads,Braden Holtby,5.67,39,22,113,0
2025-2026,Pennant Pumpjacks,Sergei Bobrovsky,5.67,46,25,132,4
2024-2025,Rockaway Brattwursts,Jordan Binnington,5.64,50,26,127,3
2021-2022,Slick City Jackals,Ilya Samsonov,5.62,40,22,109,3
2025-2026,Cantuar Slough Sharks,Ukko-Pekka Luukkonen,5.62,16,9,42,0
2025-2026,Southside Hellbats,Jeremy Swayman,5.62,53,30,144,1
2022-2023,Synth City,Matt Murray,5.6,25,14,70,1
2024-2025,Alberta Cobra Chickens,Logan Thompson,5.58,12,7,36,0
2024-2025,Bowness Ice Beavers,Joey Daccord,5.57,47,23,124,2
2020-2021,Mt Pearl Vikings,Frederik Andersen,5.57,23,13,66,0
2022-2023,Potomac Poutine,Juuse Saros,5.57,60,31,159,2
2022-2023,Les Rois de Lyon,Marc-Andre Fleury,5.56,43,23,119,2
2025-2026,Steel Valley Fishercats,Igor Shesterkin,5.56,50,25,125,1
2021-2022,Pennant Pumpjacks,Thatcher Demko,5.55,60,32,160,1
2021-2022,Les Rois de Lyon,Marc-Andre Fleury,5.55,53,27,153,4
2022-2023,Pennant Pumpjacks,Stuart Skinner,5.54,24,13,66,0
2021-2022,Mt Pearl Vikings,Robin Lehner,5.53,43,23,118,1
2023-2024,Potomac Poutine,Joey Daccord,5.53,30,13,68,1
2019-2020,Les Rois De Lyon,Robin Lehner,5.5,36,19,99,1
2024-2025,Bowness Ice Beavers,Igor Shesterkin,5.5,36,17,98,3
2019-2020,Rotterdam Red Foxes,Carey Price,5.48,44,21,121,4
2022-2023,Rotterdam Red Foxes,Charlie Lindgren,5.44,16,9,35,0
2024-2025,Rotterdam Red Foxes,Karel Vejmelka,5.43,46,22,118,1
2019-2020,Steel Valley Fishers,Matt Murray,5.42,36,18,101,1
2023-2024,Maplewood HC,Carter Hart,5.42,24,12,66,1
2024-2025,Rockaway Brattwursts,Thatcher Demko,5.41,17,8,42,1
2020-2021,Synth City ,Mikko Koskinen,5.4,20,10,59,0
2023-2024,Slick City Jackals,Juuse Saros,5.38,34,17,95,2
2020-2021,Rotterdam Red Foxes,Jacob Markstrom,5.37,38,17,100,3
2023-2024,Slick City Jackals,Logan Thompson,5.37,30,15,82,0
2019-2020,Pennant Pumpjacks,Carter Hutton,5.36,11,5,26,1
2020-2021,Rotterdam Red Foxes,Jordan Binnington,5.36,36,16,91,0
2021-2022,Bowness Ice Beavers,Craig Anderson,5.36,22,12,70,0
2025-2026,Pennant Pumpjacks,Lukas Dostal,5.36,36,20,100,0
2020-2021,Taku River Glaciers,Igor Shesterkin,5.35,26,12,64,2
2025-2026,Woodland Whistle Pigs,Ilya Sorokin,5.35,17,9,51,1
2023-2024,Rotterdam Red Foxes,Sam Montembeault,5.33,15,8,51,0
2024-2025,Pennant Pumpjacks,Stuart Skinner,5.27,48,24,131,2
2022-2023,Rotterdam Red Foxes,Mads Sogaard,5.27,15,8,48,0
2023-2024,Driftless Hockey Club,Samuel Ersson,5.26,39,17,101,3
2024-2025,Driftless Hockey Club,Samuel Ersson,5.26,38,20,113,2
2022-2023,Synth City,Martin Jones,5.25,24,14,76,1
2025-2026,Rotterdam Red Foxes,Tristan Jarry,5.23,22,12,67,1
2024-2025,Les Rois de Lyon,Cam Talbot,5.22,23,10,58,2
2020-2021,Taku River Glaciers,Anton Khudobin,5.21,14,6,33,0
2025-2026,Rotterdam Red Foxes,Jacob Markstrom,5.21,42,21,127,1
2025-2026,Les  Rois de Lyon,David Rittich,5.2,15,7,43,1
2025-2026,Rockaway Brattwursts,Casey DeSmith,5.19,16,7,32,0
2022-2023,Woodland Whistle Pigs,Jack Campbell,5.18,11,6,38,1
2024-2025,Maplewood HC,Ilya Sorokin,5.17,30,13,83,2
2019-2020,Synth City ,Philipp Grubauer,5.16,32,14,81,2
2024-2025,Rotterdam Red Foxes,Charlie Lindgren,5.16,37,18,100,1
2025-2026,Cantuar Slough Sharks,Jesper Wallstedt,5.15,13,6,32,1
2022-2023,Steel Valley Fishers,Philipp Grubauer,5.13,15,8,38,0
2025-2026,Cantuar Slough Sharks,Stuart Skinner,5.12,41,19,122,2
2020-2021,Scotty,Connor Hellebuyck,5.11,19,10,57,0
2021-2022,Alberta Cobra Chickens,Jordan Binnington,5.11,35,17,107,2
2023-2024,Steel Valley Fishers,Cam Talbot,5.1,31,13,78,1
2023-2024,Woodland Whistle Pigs,Ilya Sorokin,5.08,50,22,145,2
2023-2024,Rotterdam Red Foxes,Filip Gustavsson,5.07,42,19,120,3
2023-2024,Steel Valley Fishers,Tristan Jarry,5.06,47,18,125,5
2024-2025,Alberta Cobra Chickens,John Gibson,5.05,20,9,52,0
2021-2022,Potomac Poutine,Vitek Vanecek,5.05,21,9,50,1
